"eventkey","splitPointId","stageId","number","distance"
1746,4313,2236,1,0.25
1746,4311,2231,2,10.17
1746,4315,2231,3,15.54
1746,4326,2231,1,4.99
1746,4312,2228,2,9.91
1746,4314,2228,1,4.21
1746,4316,2228,4,17.4
1746,4322,2228,3,13.16
1746,4317,2230,1,4.99
1746,4318,2230,2,10.17
1746,4325,2230,3,15.54
1746,4319,2232,1,4.39
1746,4320,2232,4,18.81
1746,4323,2232,5,21.37
1746,4328,2232,2,7.57
1746,4334,2232,3,12.4
1746,4338,2235,2,9.75
1746,4341,2235,1,3.87
1746,4321,2238,1,7.05
1746,4333,2238,4,22.25
1746,4345,2238,2,11.92
1746,4347,2238,3,16.74
1746,4324,2237,1,2.62
1746,4327,2237,3,14.92
1746,4343,2237,4,18.63
1746,4353,2237,5,23.01
1746,4361,2237,2,9.71
1746,4329,2229,3,13.6
1746,4330,2229,4,20.77
1746,4348,2229,1,4.04
1746,4349,2229,2,8.78
1746,4331,2227,1,6.42
1746,4336,2227,3,15.1
1746,4351,2227,2,12.29
1746,4354,2227,4,17.14
1746,4332,2240,1,7.05
1746,4339,2240,2,11.92
1746,4342,2240,4,22.25
1746,4357,2240,3,16.74
1746,4335,2241,2,12.29
1746,4337,2241,1,6.42
1746,4340,2241,4,17.14
1746,4356,2241,3,15.1
