"eventkey","itinerarySectionId","stageId","eventId","number","name","distance","status","stageType","timingPrecision","locked","code"
1746,"893",2236,174,1,"COSMOTE 5G Athens Stage",0.98,"Completed","SpecialStage","Tenth",TRUE,"SS1"
1746,"894",2231,174,2,"Aghii Theodori 1",17.54,"Completed","SpecialStage","Tenth",TRUE,"SS2"
1746,"895",2228,174,3,"Loutraki",19.4,"Completed","SpecialStage","Tenth",TRUE,"SS3"
1746,"896",2230,174,4,"Aghii Theodori 2",17.54,"Completed","SpecialStage","Tenth",TRUE,"SS4"
1746,"896",2232,174,5,"Thiva",23.27,"Completed","SpecialStage","Tenth",TRUE,"SS5"
1746,"896",2235,174,6,"Elatia",11.65,"Completed","SpecialStage","Tenth",TRUE,"SS6"
1746,"897",2238,174,7,"Pavliani 1",24.25,"Completed","SpecialStage","Tenth",TRUE,"SS7"
1746,"897",2237,174,8,"Gravia",24.81,"Completed","SpecialStage","Tenth",TRUE,"SS8"
1746,"898",2229,174,9,"Bauxites",22.97,"Completed","SpecialStage","Tenth",TRUE,"SS9"
1746,"898",2227,174,10,"Eleftherohori 1 (Live TV)",18.14,"Completed","SpecialStage","Tenth",TRUE,"SS10"
1746,"899",2240,174,11,"Pavliani 2",24.25,"Completed","SpecialStage","Tenth",TRUE,"SS11"
1746,"899",2241,174,12,"Eleftherohori 2 (Live TV)",18.14,"Completed","SpecialStage","Tenth",TRUE,"SS12"
1746,"900",2233,174,13,"Tarzan 1 (live stage)",23.37,"Completed","SpecialStage","Tenth",TRUE,"SS13"
1746,"900",2234,174,14,"Pyrgos",33.2,"Completed","SpecialStage","Tenth",TRUE,"SS14"
1746,"901",2239,174,15,"Tarzan 2 - WOLF  Power Stage",12.68,"Completed","PowerStage","Thousandth",FALSE,"SS15"
